#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.88,0.00
1,1000,9.10,0.11
2,1000,9.03,0.22
4,1000,9.06,0.44
8,1000,9.06,0.88
16,1000,9.07,1.76
32,1000,9.08,3.53
64,1000,9.06,7.06
128,1000,9.33,13.71
256,1000,9.33,27.44
512,1000,9.38,54.60
1024,1000,10.34,98.99
2048,1000,9.92,206.44
4096,1000,11.62,352.58
8192,1000,12.68,646.05
16384,1000,17.07,960.05
32768,1000,27.29,1200.52
65536,640,62.90,1041.99
131072,320,91.68,1429.72
262144,160,135.11,1940.28
524288,80,208.57,2513.69
1048576,40,358.58,2924.25
2097152,20,672.23,3119.69
4194304,10,1405.25,2984.74
8388608,5,2615.08,3207.79
16777216,2,5304.74,3162.68
33554432,1,10673.93,3143.59
67108864,1,21152.67,3172.60
134217728,1,41991.91,3196.28
268435456,1,84069.08,3193.03
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.62,0.00
1,1000,8.71,0.11
2,1000,8.76,0.23
4,1000,8.78,0.46
8,1000,8.75,0.91
16,1000,8.76,1.83
32,1000,8.73,3.67
64,1000,8.77,7.30
128,1000,9.11,14.06
256,1000,9.12,28.06
512,1000,9.18,55.80
1024,1000,10.38,98.67
2048,1000,9.69,211.25
4096,1000,11.59,353.42
8192,1000,12.41,660.17
16384,1000,17.06,960.25
32768,1000,26.93,1216.63
65536,640,63.21,1036.77
131072,320,91.94,1425.64
262144,160,138.66,1890.60
524288,80,208.43,2515.48
1048576,40,357.69,2931.51
2097152,20,668.42,3137.49
4194304,10,1324.64,3166.38
8388608,5,2607.32,3217.33
16777216,2,5279.11,3178.04
33554432,1,10612.35,3161.83
67108864,1,21226.51,3161.56
134217728,1,42496.18,3158.35
268435456,1,84131.60,3190.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.58,0.00
1,1000,8.60,0.12
2,1000,8.63,0.23
4,1000,8.65,0.46
8,1000,8.67,0.92
16,1000,8.62,1.86
32,1000,8.64,3.70
64,1000,8.64,7.41
128,1000,9.01,14.21
256,1000,9.04,28.33
512,1000,9.08,56.39
1024,1000,10.36,98.81
2048,1000,9.62,212.83
4096,1000,11.68,350.58
8192,1000,12.23,669.97
16384,1000,17.00,963.79
32768,1000,26.82,1221.82
65536,640,63.19,1037.07
131072,320,93.86,1396.48
262144,160,134.11,1954.62
524288,80,207.39,2528.06
1048576,40,359.72,2914.97
2097152,20,675.13,3106.30
4194304,10,1329.68,3154.37
8388608,5,2620.93,3200.62
16777216,2,5349.82,3136.04
33554432,1,10766.01,3116.70
67108864,1,21308.33,3149.42
134217728,1,42327.40,3170.94
268435456,1,84635.89,3171.65
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.65,0.00
1,1000,8.79,0.11
2,1000,8.75,0.23
4,1000,8.80,0.45
8,1000,8.79,0.91
16,1000,8.80,1.82
32,1000,8.81,3.63
64,1000,8.77,7.30
128,1000,9.13,14.02
256,1000,9.23,27.74
512,1000,9.22,55.55
1024,1000,10.42,98.24
2048,1000,9.70,211.05
4096,1000,11.65,351.60
8192,1000,12.22,670.15
16384,1000,17.47,937.86
32768,1000,26.72,1226.50
65536,640,62.43,1049.70
131072,320,93.83,1396.94
262144,160,135.56,1933.80
524288,80,208.18,2518.47
1048576,40,356.52,2941.13
2097152,20,671.88,3121.32
4194304,10,1327.03,3160.66
8388608,5,2630.90,3188.49
16777216,2,5350.31,3135.75
33554432,1,11293.73,2971.07
67108864,1,21311.63,3148.93
134217728,1,43115.09,3113.01
268435456,1,84517.69,3176.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.58,0.00
1,1000,8.71,0.11
2,1000,8.73,0.23
4,1000,8.71,0.46
8,1000,8.68,0.92
16,1000,8.68,1.84
32,1000,8.67,3.69
64,1000,8.70,7.36
128,1000,9.02,14.18
256,1000,9.50,26.95
512,1000,9.10,56.25
1024,1000,10.51,97.43
2048,1000,9.57,214.00
4096,1000,11.72,349.51
8192,1000,12.20,671.71
16384,1000,17.07,959.60
32768,1000,26.85,1220.51
65536,640,62.50,1048.61
131072,320,94.23,1390.95
262144,160,137.75,1903.03
524288,80,208.94,2509.26
1048576,40,359.90,2913.55
2097152,20,673.94,3111.80
4194304,10,1336.04,3139.35
8388608,5,2626.37,3193.99
16777216,2,5326.97,3149.49
33554432,1,10759.58,3118.56
67108864,1,21315.39,3148.38
134217728,1,42759.06,3138.93
268435456,1,85431.07,3142.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.66,0.00
1,1000,8.74,0.11
2,1000,8.72,0.23
4,1000,8.73,0.46
8,1000,8.72,0.92
16,1000,8.75,1.83
32,1000,8.74,3.66
64,1000,8.73,7.33
128,1000,9.06,14.12
256,1000,9.07,28.22
512,1000,9.14,56.00
1024,1000,10.46,97.94
2048,1000,9.70,211.18
4096,1000,11.65,351.50
8192,1000,12.36,662.92
16384,1000,16.98,964.68
32768,1000,27.12,1208.46
65536,640,62.69,1045.35
131072,320,91.34,1434.98
262144,160,140.46,1866.33
524288,80,208.12,2519.18
1048576,40,357.04,2936.87
2097152,20,672.58,3118.07
4194304,10,1335.75,3140.04
8388608,5,2612.62,3210.81
16777216,2,5354.64,3133.21
33554432,1,10784.03,3111.49
67108864,1,21422.35,3132.66
134217728,1,42609.23,3149.97
268435456,1,85831.00,3127.49
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.71,0.00
1,1000,8.81,0.11
2,1000,8.82,0.23
4,1000,8.78,0.46
8,1000,8.81,0.91
16,1000,8.77,1.82
32,1000,8.80,3.64
64,1000,8.82,7.26
128,1000,9.13,14.02
256,1000,9.17,27.91
512,1000,9.24,55.39
1024,1000,10.26,99.78
2048,1000,9.78,209.49
4096,1000,11.57,354.16
8192,1000,12.56,652.47
16384,1000,16.99,964.33
32768,1000,27.19,1205.32
65536,640,62.43,1049.77
131072,320,93.75,1398.12
262144,160,135.58,1933.51
524288,80,207.93,2521.44
1048576,40,357.40,2933.86
2097152,20,672.64,3117.77
4194304,10,1339.17,3132.02
8388608,5,2630.46,3189.03
16777216,2,5314.73,3156.74
33554432,1,10884.32,3082.82
67108864,1,21510.05,3119.88
134217728,1,42814.87,3134.84
268435456,1,85525.29,3138.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.47,0.00
1,1000,8.63,0.12
2,1000,8.59,0.23
4,1000,8.63,0.46
8,1000,8.60,0.93
16,1000,8.60,1.86
32,1000,8.63,3.71
64,1000,8.61,7.44
128,1000,8.94,14.31
256,1000,9.00,28.45
512,1000,9.05,56.55
1024,1000,10.51,97.39
2048,1000,9.58,213.87
4096,1000,11.73,349.25
8192,1000,12.29,666.69
16384,1000,17.02,962.55
32768,1000,27.18,1205.44
65536,640,62.46,1049.21
131072,320,91.22,1436.88
262144,160,136.38,1922.10
524288,80,208.00,2520.57
1048576,40,359.48,2916.95
2097152,20,683.67,3067.48
4194304,10,1349.43,3108.21
8388608,5,2661.94,3151.32
16777216,2,5379.94,3118.48
33554432,1,10841.80,3094.91
67108864,1,21741.62,3086.65
134217728,1,43143.20,3110.98
268435456,1,86237.68,3112.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.85,0.00
1,1000,8.99,0.11
2,1000,9.02,0.22
4,1000,8.97,0.45
8,1000,9.00,0.89
16,1000,9.00,1.78
32,1000,9.52,3.36
64,1000,8.91,7.18
128,1000,9.22,13.89
256,1000,9.29,27.56
512,1000,9.34,54.84
1024,1000,10.46,97.94
2048,1000,9.87,207.45
4096,1000,11.70,350.07
8192,1000,12.49,655.80
16384,1000,17.00,963.64
32768,1000,27.01,1213.11
65536,640,62.52,1048.22
131072,320,91.96,1425.25
262144,160,136.40,1921.88
524288,80,208.69,2512.32
1048576,40,360.54,2908.33
2097152,20,680.37,3082.35
4194304,10,1346.92,3114.01
8388608,5,2647.34,3168.69
16777216,2,5378.43,3119.35
33554432,1,10960.35,3061.44
67108864,1,21555.12,3113.36
134217728,1,43225.16,3105.08
268435456,1,86351.78,3108.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.64,0.00
1,1000,8.78,0.11
2,1000,8.76,0.23
4,1000,8.73,0.46
8,1000,8.72,0.92
16,1000,8.71,1.84
32,1000,8.71,3.68
64,1000,8.73,7.33
128,1000,9.10,14.06
256,1000,9.11,28.09
512,1000,9.11,56.19
1024,1000,10.35,98.97
2048,1000,9.65,212.17
4096,1000,11.59,353.34
8192,1000,12.25,668.86
16384,1000,16.87,971.22
32768,1000,26.86,1219.79
65536,640,62.53,1048.09
131072,320,91.48,1432.72
262144,160,135.17,1939.30
524288,80,208.05,2520.01
1048576,40,358.76,2922.76
2097152,20,679.66,3085.59
4194304,10,1346.08,3115.95
8388608,5,2657.99,3155.99
