#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.92,0.00
1,1000,8.00,0.13
2,1000,7.98,0.25
4,1000,8.01,0.50
8,1000,8.02,1.00
16,1000,7.98,2.00
32,1000,7.99,4.00
64,1000,7.98,8.02
128,1000,8.35,15.33
256,1000,8.41,30.45
512,1000,8.50,60.27
1024,1000,9.47,108.08
2048,1000,9.00,227.53
4096,1000,10.70,382.83
8192,1000,11.70,699.99
16384,1000,15.89,1031.28
32768,1000,26.81,1222.33
65536,640,58.29,1124.39
131072,320,82.73,1584.31
262144,160,123.50,2122.59
524288,80,194.41,2696.81
1048576,40,332.78,3150.98
2097152,20,631.03,3323.37
4194304,10,1239.53,3383.78
8388608,5,2457.69,3413.21
16777216,2,5048.40,3323.27
33554432,1,10317.24,3252.27
67108864,1,20100.93,3338.59
134217728,1,40108.08,3346.40
268435456,1,81023.90,3313.04
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.86,0.00
1,1000,7.84,0.13
2,1000,7.91,0.25
4,1000,7.90,0.51
8,1000,7.90,1.01
16,1000,7.96,2.01
32,1000,7.92,4.04
64,1000,7.97,8.03
128,1000,8.32,15.38
256,1000,8.33,30.73
512,1000,8.34,61.37
1024,1000,9.32,109.92
2048,1000,8.86,231.07
4096,1000,10.57,387.62
8192,1000,11.63,704.50
16384,1000,15.75,1040.02
32768,1000,26.60,1232.09
65536,640,59.35,1104.30
131072,320,83.68,1566.28
262144,160,124.45,2106.46
524288,80,195.24,2685.42
1048576,40,333.66,3142.60
2097152,20,633.03,3312.88
4194304,10,1246.41,3365.12
8388608,5,2451.54,3421.77
16777216,2,5049.34,3322.66
33554432,1,10281.38,3263.61
67108864,1,20101.71,3338.47
134217728,1,40234.15,3335.92
268435456,1,82274.76,3262.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.63,0.00
1,1000,7.67,0.13
2,1000,7.68,0.26
4,1000,7.71,0.52
8,1000,7.68,1.04
16,1000,7.65,2.09
32,1000,7.70,4.16
64,1000,7.74,8.27
128,1000,7.98,16.05
256,1000,8.04,31.85
512,1000,8.05,63.58
1024,1000,9.20,111.25
2048,1000,8.68,235.82
4096,1000,10.46,391.71
8192,1000,11.25,728.31
16384,1000,15.47,1059.35
32768,1000,26.27,1247.28
65536,640,58.75,1115.58
131072,320,81.56,1607.13
262144,160,124.55,2104.79
524288,80,195.64,2679.92
1048576,40,334.36,3136.09
2097152,20,630.92,3323.98
4194304,10,1242.32,3376.18
8388608,5,2446.95,3428.18
16777216,2,5050.19,3322.09
33554432,1,10344.61,3243.66
67108864,1,20081.62,3341.81
134217728,1,40311.00,3329.56
268435456,1,82242.63,3263.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.87,0.00
1,1000,7.90,0.13
2,1000,7.93,0.25
4,1000,7.92,0.50
8,1000,7.91,1.01
16,1000,7.90,2.02
32,1000,7.91,4.05
64,1000,7.98,8.02
128,1000,8.26,15.50
256,1000,8.32,30.78
512,1000,8.38,61.11
1024,1000,9.26,110.60
2048,1000,8.93,229.33
4096,1000,10.46,391.47
8192,1000,11.49,713.27
16384,1000,15.54,1054.45
32768,1000,25.96,1262.26
65536,640,57.66,1136.62
131072,320,83.84,1563.34
262144,160,124.31,2108.79
524288,80,194.56,2694.71
1048576,40,333.77,3141.63
2097152,20,633.67,3309.55
4194304,10,1240.45,3381.29
8388608,5,2462.04,3407.18
16777216,2,5065.49,3312.06
33554432,1,10291.27,3260.47
67108864,1,20274.43,3310.02
134217728,1,40377.35,3324.08
268435456,1,82088.68,3270.07
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.86,0.00
1,1000,7.92,0.13
2,1000,7.91,0.25
4,1000,7.89,0.51
8,1000,7.91,1.01
16,1000,7.87,2.03
32,1000,7.93,4.04
64,1000,7.93,8.07
128,1000,8.33,15.36
256,1000,8.39,30.50
512,1000,8.40,60.94
1024,1000,9.33,109.76
2048,1000,8.88,230.65
4096,1000,10.47,391.30
8192,1000,11.59,706.82
16384,1000,15.64,1047.29
32768,1000,26.51,1235.98
65536,640,58.13,1127.44
131072,320,82.56,1587.58
262144,160,124.30,2108.95
524288,80,195.03,2688.19
1048576,40,333.68,3142.44
2097152,20,634.17,3306.91
4194304,10,1238.45,3386.75
8388608,5,2463.33,3405.40
16777216,2,5071.38,3308.22
33554432,1,10337.96,3245.75
67108864,1,20231.45,3317.06
134217728,1,41093.84,3266.13
268435456,1,80423.65,3337.77
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.80,0.00
1,1000,7.88,0.13
2,1000,7.83,0.26
4,1000,7.84,0.51
8,1000,7.85,1.02
16,1000,7.86,2.04
32,1000,7.87,4.07
64,1000,7.85,8.16
128,1000,8.16,15.69
256,1000,8.22,31.13
512,1000,8.26,61.98
1024,1000,9.29,110.22
2048,1000,8.79,233.03
4096,1000,10.50,390.18
8192,1000,11.46,714.72
16384,1000,15.54,1054.26
32768,1000,26.19,1250.98
65536,640,58.16,1126.75
131072,320,81.82,1601.88
262144,160,124.92,2098.53
524288,80,194.78,2691.67
1048576,40,333.05,3148.43
2097152,20,632.66,3314.83
4194304,10,1236.38,3392.40
8388608,5,2457.88,3412.95
16777216,2,5080.63,3302.19
33554432,1,10301.34,3257.29
67108864,1,20300.40,3305.79
134217728,1,41254.12,3253.44
268435456,1,81771.67,3282.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.78,0.00
1,1000,7.86,0.13
2,1000,7.86,0.25
4,1000,7.85,0.51
8,1000,7.86,1.02
16,1000,7.84,2.04
32,1000,7.84,4.08
64,1000,7.87,8.13
128,1000,8.22,15.57
256,1000,8.26,30.98
512,1000,8.26,62.01
1024,1000,9.28,110.31
2048,1000,8.81,232.36
4096,1000,10.53,388.99
8192,1000,11.46,714.65
16384,1000,15.77,1039.14
32768,1000,26.24,1249.01
65536,640,57.79,1133.94
131072,320,84.13,1557.99
262144,160,124.83,2099.96
524288,80,195.47,2682.13
1048576,40,334.88,3131.21
2097152,20,633.28,3311.58
4194304,10,1237.91,3388.21
8388608,5,2462.33,3406.77
16777216,2,5054.75,3319.10
33554432,1,10357.40,3239.66
67108864,1,20315.08,3303.40
134217728,1,41052.79,3269.39
268435456,1,80515.99,3333.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.98,0.00
1,1000,8.03,0.12
2,1000,8.07,0.25
4,1000,8.07,0.50
8,1000,8.03,1.00
16,1000,8.08,1.98
32,1000,8.07,3.97
64,1000,8.10,7.90
128,1000,8.48,15.10
256,1000,8.52,30.06
512,1000,8.55,59.86
1024,1000,9.32,109.89
2048,1000,9.08,225.62
4096,1000,10.58,387.21
8192,1000,11.84,691.94
16384,1000,15.91,1029.47
32768,1000,26.69,1227.55
65536,640,57.39,1141.84
131072,320,82.83,1582.37
262144,160,124.29,2109.12
524288,80,194.58,2694.51
1048576,40,333.05,3148.36
