#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.37,0.00
1,1000,7.79,0.13
2,1000,7.61,0.26
4,1000,7.63,0.52
8,1000,7.69,1.04
16,1000,7.66,2.09
32,1000,7.74,4.13
64,1000,7.66,8.35
128,1000,7.88,16.24
256,1000,8.06,31.78
512,1000,8.54,59.97
1024,1000,8.81,116.29
2048,1000,15.81,129.58
4096,1000,15.53,263.78
8192,1000,22.90,357.73
16384,1000,29.42,556.88
32768,1000,41.77,784.44
65536,640,101.82,643.63
131072,320,105.58,1241.44
262144,160,164.10,1597.46
524288,80,211.54,2478.42
1048576,40,345.78,3032.49
2097152,20,619.62,3384.58
4194304,10,1118.85,3748.78
8388608,5,2499.73,3355.80
16777216,2,4881.39,3436.97
33554432,1,10111.48,3318.45
67108864,1,20086.82,3340.94
134217728,1,40171.43,3341.12
268435456,1,79983.57,3356.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.82,0.00
1,1000,9.80,0.10
2,1000,9.79,0.20
4,1000,9.78,0.41
8,1000,9.81,0.82
16,1000,9.78,1.64
32,1000,9.29,3.45
64,1000,9.52,6.72
128,1000,9.36,13.68
256,1000,9.39,27.26
512,1000,9.76,52.48
1024,1000,9.77,104.81
2048,1000,21.75,94.17
4096,1000,18.63,219.85
8192,1000,28.49,287.51
16384,1000,37.64,435.26
32768,1000,50.79,645.20
65536,640,66.62,983.68
131072,320,138.29,947.79
262144,160,171.31,1530.27
524288,80,245.82,2132.85
1048576,40,391.06,2681.36
2097152,20,690.62,3036.62
4194304,10,1333.79,3144.65
8388608,5,2872.39,2920.43
16777216,2,5826.09,2879.67
33554432,1,12022.98,2790.86
67108864,1,23600.63,2843.52
134217728,1,46668.83,2875.96
268435456,1,94498.70,2840.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.50,0.00
1,1000,9.50,0.11
2,1000,9.48,0.21
4,1000,9.48,0.42
8,1000,9.40,0.85
16,1000,9.36,1.71
32,1000,9.37,3.41
64,1000,9.53,6.72
128,1000,9.64,13.28
256,1000,9.26,27.63
512,1000,9.65,53.04
1024,1000,9.76,104.89
2048,1000,17.38,117.84
4096,1000,17.99,227.74
8192,1000,27.43,298.69
16384,1000,35.01,467.94
32768,1000,56.39,581.12
65536,640,77.70,843.46
131072,320,141.70,924.97
262144,160,172.47,1519.93
524288,80,237.78,2204.88
1048576,40,376.22,2787.15
2097152,20,690.34,3037.86
4194304,10,1364.18,3074.59
8388608,5,2938.69,2854.54
16777216,2,5890.87,2848.00
33554432,1,12108.81,2771.08
67108864,1,23965.95,2800.18
134217728,1,48159.67,2786.93
268435456,1,95723.27,2804.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.42,0.00
1,1000,9.31,0.11
2,1000,9.34,0.21
4,1000,9.50,0.42
8,1000,9.48,0.84
16,1000,9.24,1.73
32,1000,9.24,3.46
64,1000,9.44,6.78
128,1000,9.50,13.47
256,1000,9.80,26.12
512,1000,10.08,50.80
1024,1000,10.09,101.48
2048,1000,20.71,98.89
4096,1000,17.62,232.45
8192,1000,28.69,285.58
16384,1000,47.87,342.28
32768,1000,55.53,590.11
65536,640,86.61,756.71
131072,320,138.72,944.85
262144,160,195.46,1341.16
524288,80,238.82,2195.36
1048576,40,398.01,2634.57
2097152,20,740.69,2831.34
4194304,10,1567.31,2676.12
8388608,5,2910.96,2881.73
16777216,2,5867.04,2859.57
33554432,1,11826.85,2837.14
67108864,1,23764.39,2823.93
134217728,1,46144.08,2908.67
268435456,1,92098.06,2914.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.60,0.00
1,1000,9.53,0.10
2,1000,9.48,0.21
4,1000,9.24,0.43
8,1000,9.46,0.85
16,1000,9.31,1.72
32,1000,9.26,3.45
64,1000,9.44,6.78
128,1000,9.40,13.61
256,1000,9.57,26.76
512,1000,9.96,51.38
1024,1000,10.36,98.80
2048,1000,18.65,109.81
4096,1000,22.03,185.89
8192,1000,28.71,285.31
16384,1000,34.67,472.54
32768,1000,50.25,652.10
65536,640,108.70,602.90
131072,320,138.47,946.59
262144,160,235.99,1110.82
524288,80,253.08,2071.61
1048576,40,463.59,2261.86
2097152,20,855.26,2452.06
4194304,10,1699.72,2467.65
8388608,5,3155.16,2658.69
16777216,2,5934.81,2826.92
33554432,1,12143.77,2763.10
67108864,1,24099.12,2784.70
134217728,1,47446.12,2828.85
268435456,1,94328.51,2845.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.59,0.00
1,1000,9.60,0.10
2,1000,9.37,0.21
4,1000,9.52,0.42
8,1000,9.47,0.85
16,1000,9.29,1.72
32,1000,9.29,3.45
64,1000,9.32,6.86
128,1000,9.43,13.57
256,1000,9.66,26.51
512,1000,10.02,51.10
1024,1000,10.37,98.75
2048,1000,17.26,118.64
4096,1000,18.99,215.67
8192,1000,28.14,291.14
16384,1000,34.59,473.67
32768,1000,50.07,654.50
65536,640,67.23,974.74
131072,320,99.37,1319.02
262144,160,198.29,1322.04
524288,80,264.94,1978.93
1048576,40,399.10,2627.32
2097152,20,678.94,3088.88
4194304,10,1415.80,2962.51
8388608,5,2917.72,2875.05
16777216,2,5772.86,2906.22
33554432,1,11949.06,2808.12
67108864,1,23672.64,2834.87
134217728,1,46662.28,2876.36
268435456,1,90044.95,2981.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.08,0.00
1,1000,11.18,0.09
2,1000,11.25,0.18
4,1000,11.20,0.36
8,1000,11.22,0.71
16,1000,11.03,1.45
32,1000,11.07,2.89
64,1000,11.11,5.76
128,1000,11.35,11.28
256,1000,11.17,22.92
512,1000,11.44,44.77
1024,1000,11.68,87.70
2048,1000,21.53,95.14
4096,1000,25.77,158.96
8192,1000,32.78,249.88
16384,1000,34.76,471.34
32768,1000,49.28,664.87
65536,640,103.69,632.02
131072,320,145.36,901.71
262144,160,199.84,1311.76
524288,80,293.13,1788.61
1048576,40,466.15,2249.42
2097152,20,808.20,2594.85
4194304,10,1571.26,2669.40
8388608,5,3355.14,2500.22
16777216,2,6705.04,2502.18
33554432,1,13848.97,2422.88
67108864,1,27337.03,2454.87
134217728,1,53456.12,2510.80
268435456,1,104416.74,2570.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.40,0.00
1,1000,9.41,0.11
2,1000,9.19,0.22
4,1000,9.21,0.43
8,1000,9.29,0.86
16,1000,9.23,1.73
32,1000,9.26,3.46
64,1000,9.25,6.92
128,1000,9.34,13.71
256,1000,9.57,26.75
512,1000,10.00,51.21
1024,1000,10.53,97.21
2048,1000,24.96,82.06
4096,1000,18.36,223.12
8192,1000,27.58,297.01
16384,1000,35.54,461.02
32768,1000,54.98,596.03
65536,640,68.85,951.81
131072,320,135.75,965.55
262144,160,172.93,1515.86
524288,80,250.71,2091.23
1048576,40,396.90,2641.92
2097152,20,879.98,2383.18
4194304,10,1532.57,2736.78
8388608,5,2849.75,2943.63
16777216,2,5735.74,2925.03
33554432,1,11693.10,2869.59
67108864,1,23563.90,2847.95
134217728,1,46327.83,2897.13
268435456,1,90658.32,2960.96
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.36,0.00
1,1000,9.43,0.11
2,1000,9.48,0.21
4,1000,9.47,0.42
8,1000,9.48,0.84
16,1000,9.22,1.73
32,1000,9.23,3.47
64,1000,9.25,6.92
128,1000,9.37,13.67
256,1000,9.31,27.49
512,1000,9.47,54.06
1024,1000,9.90,103.40
2048,1000,17.82,114.94
4096,1000,21.40,191.42
8192,1000,29.03,282.16
16384,1000,36.31,451.28
32768,1000,50.10,654.02
65536,640,68.27,959.99
131072,320,116.05,1129.41
262144,160,219.25,1195.65
524288,80,242.92,2158.23
1048576,40,388.99,2695.63
2097152,20,695.46,3015.50
4194304,10,1368.75,3064.33
8388608,5,2933.19,2859.89
16777216,2,5983.74,2803.80
