#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.01,1.99
4,1000,1.01,3.97
8,1000,1.00,8.04
16,1000,1.00,15.99
32,1000,1.02,31.40
64,1000,1.15,55.82
128,1000,1.20,107.09
256,1000,1.42,180.38
512,1000,1.49,343.70
1024,1000,1.65,619.83
2048,1000,2.32,882.80
4096,1000,3.19,1285.84
8192,1000,4.46,1834.97
16384,1000,6.27,2613.50
32768,1000,8.39,3907.20
65536,640,12.23,5356.66
131072,320,18.37,7134.90
262144,160,31.95,8204.31
524288,80,54.24,9665.48
1048576,40,96.99,10811.72
2097152,20,186.02,11273.52
4194304,10,352.10,11912.12
8388608,5,692.16,12119.47
16777216,2,1382.61,12134.42
33554432,1,2755.02,12179.39
67108864,1,5507.91,12184.08
134217728,1,11033.09,12165.02
268435456,1,22057.14,12170.00
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.00
8,1000,0.99,8.08
16,1000,1.00,16.06
32,1000,1.02,31.40
64,1000,1.15,55.85
128,1000,1.20,106.76
256,1000,1.42,180.92
512,1000,1.49,343.25
1024,1000,1.65,620.09
2048,1000,2.33,880.58
4096,1000,3.19,1285.53
8192,1000,4.46,1835.91
16384,1000,6.25,2622.74
32768,1000,8.40,3901.70
65536,640,12.23,5358.39
131072,320,18.42,7117.18
262144,160,32.04,8181.25
524288,80,57.68,9089.74
1048576,40,97.07,10802.08
2097152,20,182.54,11488.55
4194304,10,352.59,11895.85
8388608,5,692.85,12107.37
16777216,2,1382.99,12131.12
33554432,1,2761.50,12150.80
67108864,1,5513.47,12171.81
134217728,1,11011.77,12188.57
268435456,1,22061.27,12167.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,1.00,1.00
2,1000,1.00,1.99
4,1000,1.00,4.01
8,1000,0.99,8.06
16,1000,1.00,16.07
32,1000,1.02,31.47
64,1000,1.15,55.81
128,1000,1.19,107.16
256,1000,1.42,179.76
512,1000,1.50,341.24
1024,1000,1.65,620.35
2048,1000,2.33,880.40
4096,1000,3.19,1285.93
8192,1000,4.46,1835.55
16384,1000,6.25,2622.90
32768,1000,8.40,3901.02
65536,640,12.27,5341.38
131072,320,18.42,7117.49
262144,160,31.99,8195.47
524288,80,54.24,9665.58
1048576,40,97.00,10809.95
2097152,20,186.04,11272.73
4194304,10,352.36,11903.46
8388608,5,692.09,12120.66
16777216,2,1381.99,12139.91
33554432,1,2756.11,12174.58
67108864,1,5520.32,12156.70
134217728,1,11010.02,12190.51
268435456,1,22064.97,12165.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,4.00
8,1000,0.99,8.06
16,1000,1.00,16.06
32,1000,1.02,31.49
64,1000,1.14,55.98
128,1000,1.20,106.35
256,1000,1.43,179.43
512,1000,1.50,342.26
1024,1000,1.65,622.26
2048,1000,2.33,880.08
4096,1000,3.19,1284.06
8192,1000,4.46,1835.04
16384,1000,6.25,2622.62
32768,1000,8.40,3900.24
65536,640,12.24,5353.61
131072,320,18.40,7123.26
262144,160,31.91,8214.77
524288,80,54.21,9672.01
1048576,40,97.89,10712.25
2097152,20,182.18,11511.48
4194304,10,352.77,11889.50
8388608,5,691.82,12125.51
16777216,2,1379.88,12158.44
33554432,1,2761.72,12149.83
67108864,1,5522.20,12152.57
134217728,1,11015.33,12184.63
268435456,1,22071.72,12161.96
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,3.99
8,1000,0.99,8.05
16,1000,0.99,16.10
32,1000,1.02,31.44
64,1000,1.15,55.57
128,1000,1.20,106.24
256,1000,1.43,179.30
512,1000,1.49,343.67
1024,1000,1.65,619.62
2048,1000,2.33,879.83
4096,1000,3.19,1283.74
8192,1000,4.46,1835.54
16384,1000,6.24,2626.49
32768,1000,8.39,3907.48
65536,640,12.23,5360.22
131072,320,18.39,7128.68
262144,160,32.00,8192.52
524288,80,56.53,9274.05
1048576,40,98.51,10643.85
2097152,20,182.29,11504.27
4194304,10,352.96,11883.11
8388608,5,692.58,12112.19
16777216,2,1383.13,12129.93
33554432,1,2759.96,12157.59
67108864,1,5511.92,12175.23
134217728,1,11011.46,12188.91
268435456,1,22070.00,12162.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.02
2,1000,1.00,2.00
4,1000,1.00,4.02
8,1000,0.99,8.08
16,1000,0.99,16.12
32,1000,1.01,31.60
64,1000,1.15,55.81
128,1000,1.20,107.04
256,1000,1.43,179.53
512,1000,1.50,342.19
1024,1000,1.65,622.27
2048,1000,2.32,883.21
4096,1000,3.18,1286.52
8192,1000,4.47,1833.39
16384,1000,6.25,2619.99
32768,1000,8.41,3896.90
65536,640,12.25,5350.10
